"","origin_state","year","mean_distance","sum_dest_state_status","count_counties","pct_counties_dest_state_different"
"1","AK",2009,209.358261351724,0,348,0
"2","AK",2010,209.358261351724,0,348,0
"3","AK",2011,209.358261351724,0,348,0
"4","AK",2012,209.358261351724,0,348,0
"5","AK",2013,209.358261351724,0,348,0
"6","AK",2014,209.358261351724,0,348,0
"7","AK",2015,209.131514343103,0,348,0
"8","AK",2016,209.055932006897,0,348,0
"9","AK",2017,209.438010472414,0,348,0
"10","AK",2018,209.820088937931,0,348,0
"11","AK",2019,209.820088937931,0,348,0
"12","AK",2020,210.773676868966,0,348,0
"13","AK",2021,214.700237731034,0,348,0
"14","AK",2022,224.38049192931,0,348,0
"15","AL",2009,53.7531693895522,142,804,17.6616915422886
"16","AL",2010,54.0581590962687,146,804,18.1592039800995
"17","AL",2011,54.3232558552239,156,804,19.4029850746269
"18","AL",2012,54.4194254379353,144,804,17.910447761194
"19","AL",2013,54.4125849970149,144,804,17.910447761194
"20","AL",2014,61.4404726074627,186,804,23.134328358209
"21","AL",2015,58.3999455731343,144,804,17.910447761194
"22","AL",2016,54.1335228201493,144,804,17.910447761194
"23","AL",2017,59.2314067906716,180,804,22.3880597014925
"24","AL",2018,63.725172671393,171,804,21.2686567164179
"25","AL",2019,64.9412177771144,162,804,20.1492537313433
"26","AL",2020,59.835117694403,189,804,23.5074626865672
"27","AL",2021,54.1894294014925,144,804,17.910447761194
"28","AL",2022,102.711983411443,483,804,60.0746268656716
"29","AR",2009,79.4716600706667,264,900,29.3333333333333
"30","AR",2010,79.652478329,264,900,29.3333333333333
"31","AR",2011,79.90530244,264,900,29.3333333333333
"32","AR",2012,79.90530244,264,900,29.3333333333333
"33","AR",2013,80.52746904,252,900,28
"34","AR",2014,80.52746904,252,900,28
"35","AR",2015,80.52746904,252,900,28
"36","AR",2016,80.52746904,252,900,28
"37","AR",2017,80.71767068,252,900,28
"38","AR",2018,80.7810712266667,252,900,28
"39","AR",2019,85.7750764483333,292,900,32.4444444444444
