"","origin_state","dest_state","origin_state_id","dest_state_id"
"1","AL","AL",2,2
"2","AL","AL",2,2
"3","AL","AL",2,2
"4","AL","AL",2,2
"5","AL","AL",2,2
"6","AL","AL",2,2
"7","AL","GA",2,11
"8","AL","GA",2,11
"9","AL","GA",2,11
"10","AL","GA",2,11
"11","AL","GA",2,11
"12","AL","GA",2,11
"13","AL","AL",2,2
"14","AL","AL",2,2
"15","AL","AL",2,2
"16","AL","AL",2,2
"17","AL","FL",2,10
"18","AL","FL",2,10
"19","AL","FL",2,10
"20","AL","FL",2,10
"21","AL","FL",2,10
"22","AL","FL",2,10
"23","AL","FL",2,10
"24","AL","LA",2,19
"25","AL","GA",2,11
"26","AL","GA",2,11
"27","AL","GA",2,11
"28","AL","GA",2,11
"29","AL","GA",2,11
"30","AL","GA",2,11
"31","AL","GA",2,11
"32","AL","GA",2,11
"33","AL","GA",2,11
"34","AL","GA",2,11
"35","AL","GA",2,11
"36","AL","GA",2,11
"37","AL","AL",2,2
"38","AL","AL",2,2
"39","AL","AL",2,2
"40","AL","AL",2,2
"41","AL","AL",2,2
"42","AL","AL",2,2
"43","AL","GA",2,11
"44","AL","GA",2,11
"45","AL","GA",2,11
"46","AL","GA",2,11
"47","AL","GA",2,11
"48","AL","GA",2,11
"49","AL","AL",2,2
"50","AL","AL",2,2
"51","AL","AL",2,2
"52","AL","AL",2,2
"53","AL","AL",2,2
"54","AL","AL",2,2
"55","AL","GA",2,11
"56","AL","GA",2,11
"57","AL","GA",2,11
"58","AL","GA",2,11
"59","AL","GA",2,11
"60","AL","GA",2,11
"61","AL","AL",2,2
"62","AL","AL",2,2
"63","AL","AL",2,2
"64","AL","AL",2,2
"65","AL","AL",2,2
"66","AL","AL",2,2
"67","AL","GA",2,11
"68","AL","GA",2,11
"69","AL","GA",2,11
"70","AL","GA",2,11
"71","AL","GA",2,11
"72","AL","GA",2,11
"73","AL","AL",2,2
"74","AL","AL",2,2
"75","AL","AL",2,2
"76","AL","AL",2,2
"77","AL","AL",2,2
"78","AL","AL",2,2
"79","AL","GA",2,11
"80","AL","GA",2,11
"81","AL","GA",2,11
"82","AL","GA",2,11
"83","AL","GA",2,11
"84","AL","GA",2,11
"85","AL","AL",2,2
"86","AL","AL",2,2
"87","AL","AL",2,2
"88","AL","GA",2,11
"89","AL","GA",2,11
"90","AL","GA",2,11
"91","AL","GA",2,11
"92","AL","GA",2,11
"93","AL","GA",2,11
"94","AL","GA",2,11
"95","AL","GA",2,11
"96","AL","GA",2,11
"97","AL","GA",2,11
"98","AL","GA",2,11
"99","AL","GA",2,11
"100","AL","GA",2,11
"101","AL","GA",2,11
"102","AL","GA",2,11
"103","AL","GA",2,11
"104","AL","GA",2,11
"105","AL","GA",2,11
"106","AL","GA",2,11
"107","AL","GA",2,11
"108","AL","GA",2,11
"109","AL","GA",2,11
"110","AL","GA",2,11
"111","AL","GA",2,11
"112","AL","GA",2,11
"113","AL","GA",2,11
"114","AL","GA",2,11
"115","AL","GA",2,11
"116","AL","GA",2,11
"117","AL","GA",2,11
"118","AL","GA",2,11
"119","AL","GA",2,11
"120","AL","GA",2,11
"121","AL","AL",2,2
"122","AL","AL",2,2
"123","AL","AL",2,2
"124","AL","AL",2,2
"125","AL","AL",2,2
"126","AL","AL",2,2
"127","AL","GA",2,11
"128","AL","GA",2,11
"129","AL","GA",2,11
"130","AL","GA",2,11
"131","AL","GA",2,11
"132","AL","GA",2,11
"133","AL","AL",2,2
"134","AL","AL",2,2
"135","AL","AL",2,2
"136","AL","AL",2,2
"137","AL","AL",2,2
"138","AL","AL",2,2
"139","AL","GA",2,11
"140","AL","GA",2,11
"141","AL","GA",2,11
"142","AL","GA",2,11
"143","AL","GA",2,11
"144","AL","MS",2,26
"145","AL","AL",2,2
"146","AL","AL",2,2
"147","AL","AL",2,2
"148","AL","AL",2,2
"149","AL","AL",2,2
"150","AL","AL",2,2
"151","AL","GA",2,11
"152","AL","GA",2,11
"153","AL","GA",2,11
"154","AL","GA",2,11
"155","AL","GA",2,11
"156","AL","MS",2,26
"157","AL","AL",2,2
"158","AL","AL",2,2
"159","AL","AL",2,2
"160","AL","AL",2,2
"161","AL","AL",2,2
"162","AL","AL",2,2
"163","AL","GA",2,11
"164","AL","GA",2,11
"165","AL","GA",2,11
"166","AL","GA",2,11
"167","AL","GA",2,11
"168","AL","GA",2,11
"169","AL","GA",2,11
"170","AL","GA",2,11
"171","AL","GA",2,11
"172","AL","GA",2,11
"173","AL","GA",2,11
"174","AL","GA",2,11
"175","AL","GA",2,11
"176","AL","GA",2,11
"177","AL","GA",2,11
"178","AL","GA",2,11
"179","AL","GA",2,11
"180","AL","GA",2,11
"181","AL","AL",2,2
"182","AL","AL",2,2
"183","AL","AL",2,2
"184","AL","AL",2,2
"185","AL","AL",2,2
"186","AL","AL",2,2
"187","AL","GA",2,11
"188","AL","GA",2,11
"189","AL","GA",2,11
"190","AL","GA",2,11
"191","AL","GA",2,11
"192","AL","GA",2,11
"193","AL","AL",2,2
"194","AL","AL",2,2
"195","AL","AL",2,2
"196","AL","AL",2,2
"197","AL","AL",2,2
"198","AL","AL",2,2
"199","AL","GA",2,11
"200","AL","GA",2,11
"201","AL","GA",2,11
"202","AL","GA",2,11
"203","AL","TN",2,43
"204","AL","TN",2,43
"205","AL","AL",2,2
"206","AL","AL",2,2
"207","AL","AL",2,2
"208","AL","AL",2,2
"209","AL","AL",2,2
"210","AL","AL",2,2
"211","AL","GA",2,11
"212","AL","GA",2,11
"213","AL","GA",2,11
"214","AL","GA",2,11
"215","AL","GA",2,11
"216","AL","GA",2,11
"217","AL","AL",2,2
"218","AL","AL",2,2
"219","AL","AL",2,2
"220","AL","AL",2,2
"221","AL","AL",2,2
"222","AL","AL",2,2
"223","AL","GA",2,11
